Count of A booklets   = 187
Count of B booklets   = 197
Count of all booklets = 384

Using Booklet A numbering:
Q    NoC
001  247
002  143
003  148
004  331
005  296
006  153
007  266
008  234
009  322
010  257
011  195
012  217
013  161
014  48
015  247
016  218
017  300
018  167
019  210
020  151
021  128
022  45
023  243
024  130
025  118
026  217
027  145
028  199
029  186
030  212
031  91
032  47
033  90
034  157
035  132
036  75
037  121
038  250
039  213
040  123
041  342
042  299
043  356
044  304
045  245
046  254
047  308
048  237
049  160
050  214
